Date,Total (house and land),House only,Land only
1981-01-01,38.2,36.1,40.6
1981-02-01,38.7,36.5,41
1981-03-01,39.3,37.3,41.1
1981-04-01,39.9,38.1,41.2
1981-05-01,40.6,38.9,41.5
1981-06-01,40.8,39.1,41.6
1981-07-01,40.8,39.2,41.6
1981-08-01,40.6,39,41.5
1981-09-01,40.4,39,40.9
1981-10-01,40.3,38.8,40.9
1981-11-01,40.2,38.8,40.4
1981-12-01,40.3,38.9,40.5
1982-01-01,40.3,39.1,40.5
1982-02-01,40.3,38.9,40.6
1982-03-01,40.1,38.6,40.7
1982-04-01,39.9,38.5,40.6
1982-05-01,39.6,38.1,40.1
1982-06-01,39.3,38.1,39.5
1982-07-01,39,38,38.5
1982-08-01,38.8,37.8,38.2
1982-09-01,38.4,37.6,37.5
1982-10-01,38.3,37.4,37.5
1982-11-01,38,37.3,37
1982-12-01,37.9,37.2,37
1983-01-01,37.9,37.3,36.8
1983-02-01,37.9,37.2,36.8
1983-03-01,37.8,37.2,37
1983-04-01,37.8,37,37.2
1983-05-01,37.7,36.9,37.2
1983-06-01,37.8,37,37.4
1983-07-01,37.8,37,37.4
1983-08-01,38,37.2,37.2
1983-09-01,38,37.2,37.3
1983-10-01,37.9,37.2,37.2
1983-11-01,38,37.3,37.4
1983-12-01,37.9,37.2,37.2
1984-01-01,38,37.2,37.3
1984-02-01,38,37.4,37.3
1984-03-01,38.1,37.5,37.3
1984-04-01,38.2,37.6,37.4
1984-05-01,38.2,37.6,37.4
1984-06-01,38.1,37.4,37.4
1984-07-01,38.1,37.4,37.4
1984-08-01,38,37.3,37.4
1984-09-01,37.9,37.2,37.3
1984-10-01,37.9,37.2,37.2
1984-11-01,37.8,37.2,37
1984-12-01,37.9,37.3,37
1985-01-01,38,37.4,37.1
1985-02-01,38,37.4,37.2
1985-03-01,38.1,37.5,37.3
1985-04-01,38.1,37.5,37.3
1985-05-01,38.1,37.4,37.5
1985-06-01,38.3,37.6,37.8
1985-07-01,38.4,37.7,37.8
1985-08-01,38.5,38,38
1985-09-01,38.8,38.1,38.2
1985-10-01,38.9,38.4,38.2
1985-11-01,39.2,38.6,38.3
1985-12-01,39.3,38.7,38.4
1986-01-01,39.8,39.4,38.8
1986-02-01,40.3,39.9,39.2
1986-03-01,40.6,40.2,39.3
1986-04-01,40.8,40.6,39.3
1986-05-01,41.1,40.9,39.5
1986-06-01,41.3,41.2,39.7
1986-07-01,41.6,41.4,39.8
1986-08-01,42,41.9,40.1
1986-09-01,42.8,42.9,40.6
1986-10-01,43.2,43.4,40.6
1986-11-01,43.8,44.1,41
1986-12-01,44,44.4,41
1987-01-01,44.4,44.8,41.1
1987-02-01,45.2,45.9,41.3
1987-03-01,46.6,47.3,42.7
1987-04-01,47.1,48,43.1
1987-05-01,47.5,48.3,43.5
1987-06-01,47.7,48.6,43.6
1987-07-01,48,48.8,43.9
1987-08-01,48.2,49,44.2
1987-09-01,48.7,49.2,45.4
1987-10-01,48.9,49.3,45.6
1987-11-01,49.1,49.5,45.9
1987-12-01,49.1,49.5,46.1
1988-01-01,49.3,49.7,46.4
1988-02-01,49.8,50.1,46.9
1988-03-01,50.3,50.6,47.4
1988-04-01,51.2,51.5,48.3
1988-05-01,51.9,52.1,49.3
1988-06-01,52.3,52.4,50.3
1988-07-01,52.5,52.5,50.6
1988-08-01,53,53,50.9
1988-09-01,53.9,53.8,52.3
1988-10-01,54.3,54.1,52.8
1988-11-01,55,54.4,54.3
1988-12-01,55.8,54.6,56.2
1989-01-01,56.3,54.7,57.6
1989-02-01,57.7,55.6,60.3
1989-03-01,58.6,56.1,62.5
1989-04-01,59.1,56.4,63.4
1989-05-01,59.3,56.5,63.6
1989-06-01,59.6,56.9,64
1989-07-01,59.8,56.9,64.5
1989-08-01,59.8,56.9,64.7
1989-09-01,60.1,57.1,65.2
1989-10-01,60.4,57.4,65.5
1989-11-01,60.8,57.6,66.6
1989-12-01,61.1,57.9,67
1990-01-01,61.7,58.4,67.6
1990-02-01,61.8,58.4,68
1990-03-01,61.9,58.5,68.4
1990-04-01,61.8,58.3,68.5
1990-05-01,61.5,57.9,68.6
